username;title;date;region;text;stars
Will_Tx;Works well but customer service is terrible;August 9, 2023;United States;Prior review: The instructions to setup the robot are terrible and my battery isn’t charging. On top of that, customer service sent me incorrect info on how to charge it, I had to do my own research after to realize they gave me the wrong info on a subsequent email. I haven’t received any further responses from the vendor and explained that a brand new product at this price point should be working. They’re indicating I can expect to hear back in 24 hours and they’d need to go through warranty now. Update: I ended up giving up with their product support, returning the product, and giving it another try. Their customer service may be ATROCIOUS but their product is top of the line. It’s night and day comparing to the roomba. It’s significantly smart to, less likely to hit your furniture, leaves your floors beautiful, and works very very well. The only thing that is annoying is you can’t silence the verbal descriptions as it goes through things: “washing the mop”, “starting manual run”, etc Would have gotten 5 stars if my initial interactions with customer service were not so bad.;4
Terry Love;Love it! It’s wonderful!;January 7, 2024;United States;;5
Curt;Amazing So Far!;August 5, 2023;United States;Cleaning Performance: While we have only had it a few days, our floors have never looked better! We have been using Bona on our new engineered hardwood floors for the past year and they always looked like they had a film on them and generally looked dull. Furthermore, after cleaning them with a lot of pressure, dirt would still rub off with a paper towel so they weren't really clean. After doing a deep clean mop using only water, the amount of dirt is astonishing and confirmed my suspicion that the bona was not really cleaning the floors. It also does an amazing job vacuuming the carpets and hardwood. We have a border collie that sheds a lot and it is great not having hair tumble weeds floating around and stuck in the carpet. And it has already saved us a bunch of time not having to pull out the upright and mop. Mapping & Obstacle Avoidance: We have a 4,400 sqft house with about 2,400 sqft downstairs and it only took about 30 minutes to map it with great accuracy. It is also great at avoiding obstacles and recognizing chairs, shoes, scales, etc. The App: The app is great, there are tons of features and configuration options and it is very easy to use. The ability to name rooms, create virtual walls and no-go zones is also very helpful as it did get caught up behind a toilet in our water closet due to a black rug bunching up. Only downside is that it does not like black rugs due to the cliff sensors so it will avoid them sometimes. However, after doing some research this affects all robot vacuums so it is not specific to this model or brand. As a result we decided to replace our black 8x11 shag rug in our great room with something lighter. Overall, this thing is amazing, while very expensive, I believe it is a great value as I can trust it to clean better than we were able to and is saving us multiple hours per week.;5
Gerry Pez;Saves time;March 4, 2024;United States;;5
Jim Robx;Very impressive so far. Puts my previous two Roomba's to shame;July 13, 2023;United States;"I have about 2700 sq ft of porcelain tile with just a few area rugs. I've only had the S8 Pro Ultra make one vacuum and mop pass through the entire house and it's very impressive. These are the things that stand out for me: 1. Mapping is very precise. After one false start I followed the instructions and opened all doors and let it do it's thing. It created a single map of every room which I was then able to split up and label as separate rooms. From there setting up a detailed schedule was easy. 2. It was easy to setup ""no go"" zones. You start with a rectangle which you can stretch and rotate to the needed size then place on the map. Add additional rectangles for complex shapes. I have an U shaped couch (red outline in middle of picture) which required three of these rectangles but was easy to setup. 3. I wanted to set up a cleaning zone in front of the food prep area of the kitchen (white object left of couch is the cooking island). I only wanted to cover the area between the gas range and the cabinets behind it. Cleaning zone creation is similar to ""no go"" zone setup with one major flaw. You can resize and move the cleaning zones but you cannot rotate them. That required me to create multiple overlapping rectangles to cover the odd angles of the area. I hope this works because after creating a ""routine"" using these zones I can't see them in the App anymore. I hope the App developers see this because these two changes would make a great product even better. 4. Performance of the mop feature is outstanding. My floors now feel ""squeaky clean"" again. 5. I don't use Alexa for security reasons so won't be evaluating it. I'll update this review as I get more experience with the machine. 6. Human engineering miss. The fresh water tank lid must be held open during a refill making this an unnecessary two hand operation. (see video)";5
Ryan;Error 44;December 30, 2023;United States;If anyone purchases this and gets an error 44 message the first time they use it, meaning the dirty water won’t get sucked up into the tank. I took off the back panel of the housing unit and found that the hose must have been kinked during assembly. Simply move the hose to the slot created and put the back, back on. Works fine now. I’ll update once the mopping has been done. Everything else works good.;4
Amazon Customer;So far, so good;July 27, 2023;United States;Environment: approx 1700 sq/ft of luxury vinyl plank. Two adults, two kids, a large dog (mastiff breed), and I set it to ignore all the rugs (they’re Ruggables, so we toss them in the wash when they’re dirty). We’ve had it just under a week, and it’s been a noticeable game changer. It’s so nice not to have to manually clean the floors. This has already saved us hours of time, so as long as its durability matches its ease of use, this thing will absolutely pay for itself in time saved alone. We’ve tested all the settings and haven’t had to use anything higher than the “medium” settings (balanced vacuum, moderate mop, and standard route). On this setting, it definitely gets all the dog hair and paw prints, all the grass from outside, the crumbs by the table…everything. It mops up all the dried dog slobber. Truly, we’ve had no issues with the cleaning power so far. Quirks: it is determined to clean under the dining room table, even when all 8 chairs (total of 32 legs) are down. It would probably get stuck in there long enough for the battery to die if I hadn’t altered the map to avoid it. When the chairs are up, it effortlessly navigates the four table legs. Cons: the wheels leave tracks when it mops. Our floors are dark/multicolored (made to look like dark hardwood), and you have to look at the right angles w/ the sun coming in to see them, but you can absolutely see the wheel tracks after it mops. This doesn’t bother us one bit because it’s a small price to pay not to use the Bissell ourselves, but this may be a huge deal to some buyers. All in, this thing is awesome. We have schedules set, so we just make sure the kids pick up their toys and this thing does the rest. Really couldn’t ask for more;5
nmmarvel;For those who love a clean floor;June 1, 2023;United States;"I haven't written many product reviews; maybe one? However, this product compelled me to write a review the day after receiving it. I purchased this unit, the series 8 after both my iRobot vacuum and separate mop died within a month of one another. One has to question engineered obsolescence..... Regardless, I chose this one because it was a mop/vacuum combo; however, I did have reservations regarding the ability to function well as both. From the moment you pop the box open, you know it's a quality product, just in the way it is packaged with care and thoughtfulness. The app is vastly more dynamic than the iRobot mop app I used previously. I had the latest, greatest iRobot mop and vacuum, and it took several attempts and about 4 hours each time to map my home. This mop/vacuum did it in about 10 minutes....it was a sight to see. I have two dogs and live in the country, my home is one level and has about 1900 square feet of hard floors (luxury vinyl tile), and I despise dirty floors. I love walking on a freshly mopped floor and not having particles stuck to my feet, and this does the trick. If you're looking to get away from ever vacuuming and mopping again wholly, you'll need to wait a few years until we have fully functioning robots, but...if you love having a clean floor, daily, without particles of dirt, grime etc. sticking to your feet, this is for you. We have large windows and get a lot of sun, so for us OCDer's the streaking is a little hard to look at. When it gets to me, I run my sweeper mop/manual mop over the area a bit, however, this unit does a FAR better job at leaving fewer streaks than the iRobot mop did. The app allows you to select a cleaning direction that aligns with the grain of your floor, having a much better-looking end result. Overall, I am amazed by the technology of this Roborock S8 Pro Ultra, and I'd highly recommend it to everyone who loves a clean floor!";5
Amazon Customer;Fantastic!;March 30, 2024;United States;I'm in love with this! Best purchase I've made in a long time! My floors are getting done while I'm doing laundry!!;5
Phil;Skeptical but very satisfied;September 5, 2023;United States;We have a multi story home with several styles of carpet, wood and tile. We also have several area rugs. I spent a lot of time researching different robot vacuums. Other family members had purchased the shark and roomba robots all to pretty much stop using them in under a year. The combination of vacuum and mopping is what caused me to want to get the Roborock despite the dissatisfaction in competing brands on vacuuming only robots. After getting the robot we let it conquer each floor of the home. We learned quickly to get cords out of the way. A blind cord got wrapped in the Roborock as did thinner electrical cords. Spending a few minutes getting cords out of the way is worth the effort. We also confirmed that the vacuum does not like high pile area rugs. We just created no-go zones in the app to avoid the issues in one of the rooms. The vacuum runs a lot longer than it would take to vacuum but it is also more thorough in most instances than I would be if I were vacuuming. It is able to go under the beds and other furniture that we would not always vacuum or mop. Sometimes it chooses what I think are unusual patterns but eventually covers the entire area. The maps in the app can confirm that it did or did not clean a particular area. I wouldn’t throw out your current vacuum though…. We still need to use the old one do the stairs and cover the area rugs that the Roborock cannot handle. In the end we have concluded that the signicant investment is worth it. It saves us time and we are able to keep the floors cleaner than we did before purchasing this vacuum/mop.;5
Blake Campbell;Fan error 155;March 4, 2024;United States;I’ve had this thing for barely a month and getting a “fan error 155” that has made it non functioning. Prior to that it’s worked perfectly and been a pleasure to have in the house. when it works it works very well Update - customer service has been very helpful and did more than expected since it broke so quickly.;5
Elliott Lum;Like having a maid;February 2, 2024;United States;A truly remarkable machine which dramatically outperforms the previous machines we’ve had from Neato and Samsung. What makes this machine so impressive is it’s ability to vacuum and mop and automatically adjust for carpets and floors. The mop even cleans itself. Navigation around obstacles is excellent. Once your house is mapped, and the rooms identified the named you can selectively clean individual rooms using Alexa commands or the map on your smart phone. This was the top of the line machine when we bought it, but Roborock just announced several newer models at CES which will be available in April.;5
Mark A. Crothers;Great robot... pathetic cleaner.;April 7, 2024;United States;I used to have a Roomba S9. It got lost and stuck all the time and I tired of searching for it. This robot does a wonderful job of obstacle avoidance and mapping. You can always find the machine live in the app, you can easily tell where it has cleaned and what path it is on. When things go wrong, there is nothing ambiguous about what you have to do to fix it. Any clogs or tangles are easily cleared. The rollers and filters are robust and last a very long time. It realizes the difference between hard floors and rugs. Changing water and bags is a breeze. However... and this is a BIG However... This thing can barely clean at all. Basically it sweeps some of pet hair into balls that I have to pick up, the rest stays where it lies. I have mine set to multiple passes at maximum cleaning, but I have to use my regular vacuum often in order to get the majority. One of the weirdest choices Roborock made was to have the cleaning base suck dirt out if the robot's bin back through the rollers and out the same path it came in. This does not work well. The result is that the bin often remains full, and there is no way to know that the robot is now just traveling around making noise because it is still full. It nicely wipes the floors, but I would not call it a mopping. Just a wipe. It will keep hard floors from being dusty, but will not for example remove a pawprint from a dog that came in from wet grass. All in all I'm dissapointed. It is by far the most expensive cleaning robot I have ever purchased, and I have owned 4 of them... It is certainly not worth it.;2
Garyarmy;Horrible Streaks;March 20, 2024;United States;I sent in a ticket for the problem and first no one answered the calls, so I emailed and they provided routine things to do that I already had done! I had high hopes for this unit but for mopping it’s worthless unless you want streaks everywhere! I bought the extra mopping pads and replace them before every use and had the setting to return to base for cleaning the mopping pads every 10 minutes of use! I tried only water and also bought their cleaning products and the results were the same! The vacuum is awesome and if I hadn’t paid so much for this then I would keep it for vacuuming but my house is 80% tile and I need the mopping to work better!;3
Michael;Easy to set up, works like a charm.;December 14, 2023;United States;"It's expensive. However, it's worth the price. At our house, we're all either working full-time jobs or going to school. As a modern labor-saving device, I think it's worth it. The Roborock S8 exceeded my expectations. We have only been using it for about two weeks. It cleaned the floor better than I anticipated. We usually ditch the shoes at the front door. We can now easily walk around in warm socks or bare-footed and it's clean. Our floor is faux wood composite laminate. The Roborock did great with this floor, even getting the edges at the baseboards with its little sweeper brush. It did struggle with rugs. We have a mixture of thin polyester rugs at the home entrances and higher-quality wool rugs inside the living areas. Roborock sucks up the cheap rugs and takes a minute to figure out the higher wool rugs. Once it got on the wool rugs, it did a good job. Going to buy double-stick tape for the thin rugs. It's smart. It went under the couch and found my missing flipflop. Reported it on the app. It also told on the dog when she investigated too closely. The setup was super easy. Get your home in order and hit the quick mapping function. Roborock did an admirable job of mapping the floor plan. It got confused by a mirror. It sees it as a ""closet"".";5
ShawnTheShow;I echo the other 5 stars;January 25, 2024;United States;"This thing is like a NASA invention that they decided to downgrade and just clean floors. It's so smart, I'm starting to suspect it knows more about my house than I do. I mean, it navigates around like it's got a PhD in vacuumology. It's picking up dirt I didn't even know existed – makes me wonder what I’ve been doing with my life. And the app? I can control this thing from my phone. It’s like I’m living in the future, except the future is just me not having to vacuum. It’s so quiet too, half the time I don’t even know it’s there. I could be talking to someone, and it just silently cleans around us, like a polite ghost who’s really into tidiness. Honestly, this vacuum doesn't just clean; it makes me feel like I've got my life together";5
Kinkerbella;Love this littrobit, life changing!;September 18, 2023;United States;I have two cats and two dogs, and while my house is generally very clean, my floor is the biggest challenge. Vacuuming is okay, mopping kills me. It should be done every day, sometimes twice, but who has the time? My husband always tells me I should hire someone, but, because I live in a touristy area, cleaning services charge tourist rates. And I just won’t pay that. I also refused to pay for some thing I can do myself for the most part. Enter this little genius robot. It vacuums and mops my house , and if I run a once a day, I don’t have to feel bad about anything. I don’t mind dusting, and my house is generally pretty damn clean and organized. And now my floors will be clean as well, every day! If I use this machine every day a as I plan to, I will only have to to deep clean behind things periodically because this thing will keep even that mess at bay. It’s a huge leap of an investment, but I looked at what it would cost me to have someone clean my house, and what the payoff would be for this, and this is a bigger win. My floors have never been so clean. And because my house was generally organized, this is a win-win. I am in love this with this thing and unless it takes a crap I will continue to. If that day comes, I will reach out to the manufacturer. The manufacturer has decent customer service, as I did have a hiccup getting on my Internet, but they were helpful.;5
David hicks;Absolutely Amazing Robot;August 7, 2023;United States;This was my first Robot vacuum that I ever bought so I was a little leary considering the price but I wanted the best on the market and guess what...this is worth every penny !!! This robot is simply amazing I am shocked. It vacuums, mops, and I like to say sweep too because it vacuums my hardwood floors very well with it's vacuum and its little brush that gets in the corners and crevices for any dirt and crumbs. It also does an amazing job vacuuming my plush carpeting around my house as well...you can even see its vacuuming marks in the carpet after its done. And love how clean it mops my wooden floors too. Incase anybody is wondering Roborock sells special cleaning detergent for the mop water for this (you can't use regular floor detergent) which works great and is super concentrated so the bottle lasts a very longtime. This robot cleans, empty's, and drys itself after cleaning too so the maintenance its very minimum. Its app and map features and functions are topnotch too and very easy to use and function. This robot's navigation is also topnotch and even recognizes and identifies obstacles or items and marks them on the map for you as well. It drives around my house and obstacles with ease like it has eyes and a brain it's crazy lol !!! I absolutely love this robot and it has made my cleaning chores a breeze now lol !!! Everything that this robot does and offers is top tier and it's no wonder why it's been highly reviewed by many sites and other customer reviews. Buy this now because you won't regret it. This does it all and it does it very well !!!;5
ArynBergman;Not cheap but worth every penny;September 3, 2023;United States;Years ago I had tested a Roomba and was disappointed. The Roborock S8 Pro Ultra is my first robot vacuum mop combo and I'm beyond impressed. Pros -Easy to use. -Works well. I've inspected the floor after it was done cleaning with a UV flashlight and it picks up most plastic dust that would have been left behind by the other one. - The auto-mapping is awesome. -Ditto with the app. - Efficient. Doesn't use much power, water, nor the cleaning solution (recommended too but not necessary) Cons - Doesn't get all of the plastic dust so there's room for improvement. - Pricey but again, worth it. - Kind of slow. There's settings to speed it up but at the cost of the quality of cleaning. - Not as set it and forget it for 7 weeks like they advertise. Its best to prep the area by setting chairs on tables and taking anything else that can be temporarily be moved off of the floor. Not critical but goes faster and seems to do a better job. The water needs to be refilled every couple of runs for about 1000 sq ft of tile floor. The funk water should be dumped after every clean otherwise it can get pretty nasty quick. -Cords vs Roborock: cords win every time so be sure they're tucked away. Update: after about a month of use, the clean water tank started to grow mildew and smelled like a dirty fish tank. Contacted Roborock support and they said to clean with citric acid water mix 1 tablespoon per cup of water) and that did the trick. Cleaned the dirty water tank too with it. Now, we only fill the tank enough to do a full cleaning, empty any remaining water along with the dirty water tank, and let them both air dry before closing. So far so good.;5
Lawrence;Good but not great;July 20, 2023;United States;I do really like the Roborock. We have hard floors, and some rugs. After it’s vacuums it’s spotless, I love seeing the vacuum lines on the rug, just makes me feel it’s extra clean. And it does a good job when mopping too. This is exactly why we bought it…. We have 2 young children so post dinner the floor is covered. The kitchen is the other area that just gets a bit grubby on the floor, from prepping dinner to wiping the surfaces down. Roborock takes care of it. So they’re the pros. I didn’t give it 5 stars for a few reasons: - it does get stuck more than I would like (bumps into a door and closes herself into a room) - I have to pick up a rug that has “tassels” on each end because when she runs over the tassles whilst vacuuming it gets jammed - quite noisy - maintenance is a pain - consumables are expensive (I didn’t take that into account when buying);4
Julia Z;I: We Love This Machine;April 20, 2024;United States;The Best thing ever. Sweeps, mops, cleans itself, and the cat loves it! This is my 3rd Roborock. The S5 takes care of the upstairs, and the latest and greatest handles the downstairs. Five stars. I've been a loyal Roborock girl and would love to be a spokesperson for this brand.;5
Barbara Clark;You must have reliable Internet/WIFI. Not good in my area.;May 5, 2024;United States;;3
Chris;So much better than iRobot;February 7, 2024;United States;So long term iRobot user most recently with a J7 with the camera. Decent device but it clogged frequently and required very frequent charging contact cleaning to charge at all. This new Roborock device is amazing. First it maps the entire floor with the LIDAR in like 10 minutes. The Roomba took hours and multiple runs to do the same. The Roborock always seems to know instantly where it is in the house if picked up and/o moved to a new floor. The vacuuming works good and the mopping feature is amazing. Super amazing! Such clean floors.;5
Christopher J.;Much better than iRobot S6;January 1, 2024;United States;Robots seems to know where it is much more than previous robots. You can live track it across the map. It can clean its own mop brush.;4
Merissa;A product to try;March 29, 2024;United States;;5
SHIPS FROM NYC;App was not working;January 27, 2024;United States;Had to send it back to factory. So far working ok. Extended warranty recommended.;4
Lisa E.;Awesome time saver;February 8, 2024;United States;;5
DaReach;Happy, Happy, Happy!;November 25, 2023;United States;We had an old Roborock S5 and had been very happy with it but wanted an upgrade that could do mopping and vacuuming in the same run without getting our rugs wet. We tried another manufacturers brand new flagship model which touted the same or possibly more advanced features than this one. We were so unhappy with it that we had to send it back after 3 weeks of shear frustration. We just set up our new S8 Pro Ultra yesterday, it mapped our home in about 4 minutes and flawlessly did a full cleaning with vacuum and mopping. Notables: 1. The WiFi setup was a bit of a pain. I had to set my dual band router to only 2.4ghz and had to also turn off cellular on my cell phone before I could get it to work. 2. The Roborock vacuum/mopping pattern goes back and forth in straight parallel lines which we like a lot. Not all robot vacuums will do this and you don’t really hear much about that. 3. In order to have full functionality in the app you have to log into it with the owner account and shared access will not allow you to access schedules and perhaps other functions.;5
